DATAFLOW,LAST UPDATE,freq,n_head,agrarea,indic_ef,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1000_HEADS,ES,2013,78650,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1000_HEADS,IE,2013,2980,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1_1000_HEADS,ES,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1_HOLD,ES,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_1_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_2_1000_HEADS,ES,2013,57040,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_2_1000_HEADS,IE,2013,2520,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_2_HOLD,ES,2013,51440,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_2_HOLD,IE,2013,7050,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_HOLD,ES,2013,52450,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_5_HOLD,IE,2013,7600,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_LIVESTOCK_HOLD,ES,2013,190940,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,C_LIVESTOCK_HOLD,IE,2013,127830,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,HOLD_HOLD,ES,2013,938800,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,0,TOTAL,HOLD_HOLD,IE,2013,139120,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_1000_HEADS,ES,2013,630,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_1000_HEADS,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_1_1000_HEADS,ES,2013,260,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_1_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_1_HOLD,ES,2013,22860,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_1_HOLD,IE,2013,310,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_2_1000_HEADS,ES,2013,240,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_2_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_2_HOLD,ES,2013,21630,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_2_HOLD,IE,2013,260,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_HOLD,ES,2013,22860,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_5_HOLD,IE,2013,310,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_LIVESTOCK_HOLD,ES,2013,22860,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,C_LIVESTOCK_HOLD,IE,2013,310,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,HOLD_HOLD,ES,2013,22860,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1-99,TOTAL,HOLD_HOLD,IE,2013,310,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_1000_HEADS,ES,2013,50,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_1_1000_HEADS,ES,2013,30,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_1_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_1_HOLD,ES,2013,120,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_1_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_2_1000_HEADS,ES,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_2_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_2_HOLD,ES,2013,100,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_2_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_HOLD,ES,2013,120,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_5_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_LIVESTOCK_HOLD,ES,2013,120,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,C_LIVESTOCK_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,HOLD_HOLD,ES,2013,120,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,100-999,TOTAL,HOLD_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_1000_HEADS,ES,2013,250,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_1_1000_HEADS,ES,2013,160,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_1_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_1_HOLD,ES,2013,100,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_1_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_2_1000_HEADS,ES,2013,80,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_2_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_2_HOLD,ES,2013,40,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_2_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_HOLD,ES,2013,100,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_5_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_LIVESTOCK_HOLD,ES,2013,100,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,C_LIVESTOCK_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,HOLD_HOLD,ES,2013,100,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,1000-2999,TOTAL,HOLD_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_1000_HEADS,ES,2013,54720,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_1000_HEADS,IE,2013,2540,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_1_1000_HEADS,ES,2013,53420,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_1_1000_HEADS,IE,2013,2520,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_1_HOLD,ES,2013,2200,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_1_HOLD,IE,2013,90,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_2_1000_HEADS,ES,2013,190,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_2_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_2_HOLD,ES,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_2_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_HOLD,ES,2013,2200,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_5_HOLD,IE,2013,90,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_LIVESTOCK_HOLD,ES,2013,2200,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,C_LIVESTOCK_HOLD,IE,2013,90,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,HOLD_HOLD,ES,2013,2200,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,10000-49999,TOTAL,HOLD_HOLD,IE,2013,90,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_1000_HEADS,ES,2013,270,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_1_1000_HEADS,ES,2013,230,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_1_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_1_HOLD,ES,2013,60,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_1_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_2_1000_HEADS,ES,2013,40,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_2_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_2_HOLD,ES,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_2_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_HOLD,ES,2013,60,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_5_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_LIVESTOCK_HOLD,ES,2013,60,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,C_LIVESTOCK_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,HOLD_HOLD,ES,2013,60,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,3000-4999,TOTAL,HOLD_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_1000_HEADS,ES,2013,1490,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_1_1000_HEADS,ES,2013,1430,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_1_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_1_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_1_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_2_1000_HEADS,ES,2013,60,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_2_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_2_HOLD,ES,2013,30,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_2_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_5_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_LIVESTOCK_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,C_LIVESTOCK_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,HOLD_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,5000-9999,TOTAL,HOLD_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_1000_HEADS,ES,2013,32990,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_1000_HEADS,IE,2013,3130,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_1_1000_HEADS,ES,2013,32650,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_1_1000_HEADS,IE,2013,3130,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_1_HOLD,ES,2013,510,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_1_HOLD,IE,2013,40,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_2_1000_HEADS,ES,2013,280,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_2_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_2_HOLD,ES,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_2_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_HOLD,ES,2013,510,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_5_HOLD,IE,2013,40,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_LIVESTOCK_HOLD,ES,2013,510,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,C_LIVESTOCK_HOLD,IE,2013,40,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,HOLD_HOLD,ES,2013,510,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,50000-99999,TOTAL,HOLD_HOLD,IE,2013,40,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_1000_HEADS,ES,2013,36760,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_1000_HEADS,IE,2013,1450,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_1_1000_HEADS,ES,2013,36450,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_1_1000_HEADS,IE,2013,1450,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_1_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_1_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_2_1000_HEADS,ES,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_2_1000_HEADS,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_2_HOLD,ES,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_2_HOLD,IE,2013,0,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_5_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_LIVESTOCK_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,C_LIVESTOCK_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,HOLD_HOLD,ES,2013,180,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,GE100000,TOTAL,HOLD_HOLD,IE,2013,10,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1000_HEADS,ES,2013,205820,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1000_HEADS,IE,2013,10130,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1_1000_HEADS,ES,2013,124630,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1_1000_HEADS,IE,2013,7130,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1_HOLD,ES,2013,26210,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_1_HOLD,IE,2013,470,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_2_1000_HEADS,ES,2013,58130,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_2_1000_HEADS,IE,2013,2530,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_2_HOLD,ES,2013,73280,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_2_HOLD,IE,2013,7330,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_HOLD,ES,2013,78650,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_5_HOLD,IE,2013,8080,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_LIVESTOCK_HOLD,ES,2013,217150,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,C_LIVESTOCK_HOLD,IE,2013,128310,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,HOLD_HOLD,ES,2013,965000,
ESTAT:EF_LSBROIAA(1.0),16/01/17 23:00:00,A,TOTAL,TOTAL,HOLD_HOLD,IE,2013,139600,
